,date,SD,Mask,TransMask,Shutdown,Quaratine,Busan,Chungcheongbuk-do,Chungcheongnam-do,Daegu,Daejeon,Gangwon-do,Gwangju,Gyeonggi-do,Gyeongsangbuk-do,Gyeongsangnam-do,Incheon,Jeju-do,Jeollabuk-do,Jeollanam-do,Sejong,Seoul,Ulsan
55,2020-03-16,0.7153846153846154,1.0,0.0,0.0,0.0,0.0005648469390316766,0.0015755008359607436,0.0048945509392073015,0.22109637596004011,0.0012313181671418643,0.0014423363751333343,0.0008293994456847037,0.0013850855801237948,0.03745827732953634,0.001950610541099364,0.000889632226037756,0.0003006058711332691,0.00016679695362043908,0.00010847604713284248,0.011619833894474478,0.0021024858286179072,0.0018464200552870918
56,2020-03-17,0.6615384615384615,1.0,0.0,0.0,0.0,0.00055438681053109,0.0016385208693991734,0.004751991203113885,0.21359104136724805,0.0012313181671418643,0.0013767756308090916,0.0006911662047372531,0.0015667361480088827,0.03647053370827068,0.001920601148159374,0.000889632226037756,0.0003006058711332691,0.00016679695362043908,0.00010847604713284248,0.011619833894474478,0.0021966269851231867,0.0017584952907496116
57,2020-03-18,0.6076923076923076,1.0,0.0,0.0,0.0,0.0005125462965287436,0.0017015409028376032,0.004847031027176162,0.2113104148335267,0.0012313181671418643,0.0014423363751333343,0.0007602828252109785,0.001649992658289548,0.03582470134052005,0.0018905917552193838,0.0009238488501161313,0.0003006058711332691,0.00022239593816058545,0.00016271407069926372,0.01191032974183634,0.00224892762762612,0.0018464200552870918
58,2020-03-19,0.5538461538461539,1.0,0.0,0.0,0.0,0.0005125462965287436,0.001764560936276033,0.00413423234670908,0.20148298777003656,0.0012313181671418643,0.0013767756308090916,0.0006911662047372531,0.0017483867158939706,0.03476097744069549,0.0017105353975794422,0.000889632226037756,0.0003006058711332691,0.0002779949227007318,0.00010847604713284248,0.01191032974183634,0.0023430687841313994,0.0023739686425119752
59,2020-03-20,0.5,1.0,0.0,0.0,0.0,0.000502086168028157,0.0017015409028376032,0.00413423234670908,0.1948069719167795,0.0011629116023006497,0.0013112148864848493,0.0005529329637898025,0.0018392119998365147,0.032785490198164166,0.0016205072187594717,0.0009922820982728817,0.0003006058711332691,0.00016679695362043908,0.00010847604713284248,0.01191032974183634,0.0024581301976378516,0.0021981191134370142
60,2020-03-21,0.5,1.0,0.0,0.0,0.0,0.00042886526852405077,0.0016385208693991734,0.0038015929624911076,0.18589179546677792,0.0011629116023006497,0.0011800933978363642,0.0005529329637898025,0.0018316432261746359,0.03221563810897244,0.0014104414681795402,0.0011291485945863825,0.0003006058711332691,0.00016679695362043908,0.00010847604713284248,0.011329338047112617,0.002615032125146651,0.0021981191134370142
61,2020-03-22,0.6166666666666667,1.0,0.0,0.0,0.0,0.00040794501152287754,0.0016385208693991734,0.0038491128745222463,0.1774742102604973,0.0012313181671418643,0.001114532653512122,0.0006220495842635279,0.0019300372837790583,0.03122789448770677,0.00138043207523955,0.0010949319705080075,0.00015030293556663455,0.00016679695362043908,0.00016271407069926372,0.011038842199750754,0.002719633410152517,0.0021101943488995335
62,2020-03-23,0.7333333333333333,1.0,0.0,0.0,0.0,0.00039748488302229095,0.001764560936276033,0.003611513314366552,0.1702591372265425,0.0012313181671418643,0.0010489719091878794,0.0006220495842635279,0.001990587473074088,0.029898239612926068,0.0013204132893595696,0.0010949319705080075,0.00015030293556663455,0.00016679695362043908,0.00016271407069926372,0.011329338047112617,0.002782394181156037,0.0016705705262121306
63,2020-03-24,0.85,1.0,0.0,0.0,0.0,0.0004184051400234642,0.0017015409028376032,0.003041274369992886,0.16051464203700586,0.0012313181671418643,0.0010489719091878794,0.0005529329637898025,0.00203600011504536,0.02849260445958647,0.0012603945034795892,0.0011291485945863825,0.0,0.00016679695362043908,0.00016271407069926372,0.011329338047112617,0.00274055366715369,0.0015826457616746501
64,2020-03-25,0.9666666666666666,1.0,0.0,0.0,0.0,0.00040794501152287754,0.0015755008359607436,0.0027561548978060533,0.15408742180560933,0.0012313181671418643,0.0010489719091878794,0.0005529329637898025,0.0021722380409591757,0.027504860838320804,0.0011703663246596186,0.0010949319705080075,0.0003006058711332691,0.00016679695362043908,0.0002711901178321062,0.01191032974183634,0.002876535337661316,0.0015826457616746501
65,2020-03-26,1.0833333333333333,1.0,0.0,0.0,0.0,0.00038702475452170437,0.0015755008359607436,0.0026611150737437753,0.14276722101095612,0.0016417575561891524,0.000852289676215152,0.0005529329637898025,0.002111687851664146,0.025567363735068925,0.0009903099670196772,0.0010949319705080075,0.0003006058711332691,0.00016679695362043908,0.0002711901178321062,0.010457850505027032,0.002928835980164249,0.0014947209971371697
66,2020-03-27,1.2,1.0,0.0,0.0,0.0,0.0003347241120187713,0.0015124808025223139,0.002185915953432387,0.13235927082979143,0.001504944426506723,0.0007211681875666672,0.0006220495842635279,0.0021268253989879036,0.024047758163890983,0.0008702723952597163,0.0011291485945863825,0.0004509088066999037,0.00016679695362043908,0.0002711901178321062,0.010167354657665169,0.0029602163656660086,0.0016705705262121306
67,2020-03-28,0.5,1.0,0.0,0.0,0.0,0.0003451842405193579,0.0012604006687685948,0.002138396041401248,0.1262223121572322,0.0014365378616655084,0.0007867289318909096,0.0006220495842635279,0.0022176506829304477,0.022528152592713034,0.0008402630023197262,0.0012660150908998834,0.0006012117422665382,0.00016679695362043908,0.0002711901178321062,0.010167354657665169,0.0031066581646742213,0.0017584952907496116
68,2020-03-29,0.6166666666666667,1.0,0.0,0.0,0.0,0.0003347241120187713,0.0012604006687685948,0.0020908761293701094,0.12041708098048695,0.0013681312968242937,0.000852289676215152,0.0006220495842635279,0.002300907193211113,0.021084527300093987,0.0009002817881997066,0.0014713148353701349,0.0006012117422665382,0.0002779949227007318,0.00032542814139852744,0.010167354657665169,0.0033158607346859535,0.0017584952907496116
69,2020-03-30,0.7333333333333333,1.0,0.0,0.0,0.0,0.00032426398351818474,0.001449460769083884,0.0020908761293701094,0.115565566354207,0.0011629116023006497,0.0009834111648636369,0.0004838163433160772,0.002293338419549234,0.019982813260989978,0.0009002817881997066,0.0014713148353701349,0.0007515146778331727,0.00033359390724087816,0.00032542814139852744,0.009876858810303308,0.0034936829191959257,0.0017584952907496116
