기간	자치구	동	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2014	강북구	수유2동	905	62	64	-	644	135	-	-	795	61	44	-	577	113	-	-
2014	강북구	수유3동	532	49	-	49	367	15	-	52	496	42	-	43	349	14	-	48
2014	강북구	삼양동	902	305	-	90	359	148	-	-	823	271	-	69	337	146	-	-
2014	강북구	미아동	468	163	-	-	250	55	-	-	408	152	-	-	208	48	-	-
2014	강북구	송중동	917	206	-	-	589	122	-	-	759	202	-	-	464	93	-	-
2014	강북구	송천동	762	84	-	38	583	57	-	-	628	73	-	37	477	41	-	-
2014	강북구	삼각산동	1,245	157	-	-	546	542	-	-	1,203	155	-	-	525	523	-	-
2014	강북구	우이동	712	71	-	-	614	-	27	-	649	66	-	-	556	-	27	-
2014	강북구	인수동	622	253	-	39	300	30	-	-	519	242	-	32	232	13	-	-
2014	도봉구	소계	11,151	1,786	33	74	6,062	3,077	49	70	9,562	1,590	19	59	5,253	2,542	30	69
2014	도봉구	쌍문1동	682	79	-	-	528	75	-	-	651	78	-	-	498	75	-	-
2014	도봉구	쌍문2동	619	116	-	-	372	131	-	-	524	101	-	-	330	93	-	-
2014	도봉구	쌍문3동	639	99	-	-	471	69	-	-	550	90	-	-	411	49	-	-
2014	도봉구	쌍문4동	391	-	-	-	81	310	-	-	318	-	-	-	81	237	-	-
2014	도봉구	방학1동	1,040	208	-	47	563	152	-	70	855	173	-	35	443	135	-	69
2014	도봉구	방학2동	940	135	-	-	785	20	-	-	839	131	-	-	688	20	-	-
2014	도봉구	방학3동	945	202	-	-	198	526	19	-	773	185	-	-	170	400	18	-
2014	도봉구	창1동	703	134	-	-	247	322	-	-	641	127	-	-	218	296	-	-
2014	도봉구	창2동	1,230	84	-	-	817	299	30	-	971	82	-	-	641	236	12	-
2014	도봉구	창3동	779	79	33	27	584	56	-	-	632	78	19	24	478	33	-	-
2014	도봉구	창4동	705	203	-	-	131	371	-	-	601	123	-	-	122	356	-	-
2014	도봉구	창5동	733	146	-	-	359	228	-	-	646	135	-	-	337	174	-	-
2014	도봉구	도봉1동	760	110	-	-	592	58	-	-	649	99	-	-	504	46	-	-
2014	도봉구	도봉2동	985	191	-	-	334	460	-	-	912	188	-	-	332	392	-	-
2014	노원구	소계	15,108	3,079	228	20	4,905	6,541	30	305	13,632	2,849	221	20	4,447	5,874	29	192
2014	노원구	월계1동	781	124	-	20	359	278	-	-	719	117	-	20	321	261	-	-
2014	노원구	월계2동	589	236	-	-	46	307	-	-	542	214	-	-	43	285	-	-
2014	노원구	월계3동	969	148	20	-	78	723	-	-	917	139	18	-	78	682	-	-
2014	노원구	공릉2동	1,521	393	-	-	539	503	-	86	1,347	368	-	-	490	436	-	53
2014	노원구	하계1동	698	338	20	-	209	131	-	-	640	310	19	-	197	114	-	-
2014	노원구	하계2동	434	79	-	-	59	296	-	-	397	76	-	-	56	265	-	-
2014	노원구	중계본동	415	183	-	-	92	140	-	-	361	167	-	-	71	123	-	-
2014	노원구	중계1동	651	116	-	-	352	183	-	-	577	110	-	-	335	132	-	-
2014	노원구	중계4동	378	71	-	-	123	184	-	-	340	60	-	-	120	160	-	-
2014	노원구	상계1동	1,425	264	128	-	577	426	30	-	1,303	247	124	-	526	377	29	-
2014	노원구	상계2동	999	145	-	-	706	91	-	57	869	137	-	-	598	84	-	50
2014	노원구	상계5동	618	95	-	-	419	104	-	-	565	86	-	-	399	80	-	-
2014	노원구	상계8동	850	70	-	-	38	693	-	49	778	68	-	-	37	637	-	36
2014	노원구	상계9동	499	-	-	-	-	499	-	-	442	-	-	-	-	442	-	-
2014	노원구	상계10동	524	96	-	-	-	364	-	64	428	91	-	-	-	331	-	6
2014	노원구	상계3.4동	1,055	245	20	-	630	160	-	-	901	216	20	-	524	141	-	-
2014	노원구	상계6.7동	876	30	-	-	190	607	-	49	776	29	-	-	180	520	-	47
2014	노원구	중계2.3동	803	246	40	-	-	517	-	-	744	225	40	-	-	479	-	-
2014	노원구	공릉1동	1,023	200	-	-	488	335	-	-	986	189	-	-	472	325	-	-
2014	은평구	소계	16,028	1,672	131	332	11,615	2,163	39	76	13,572	1,581	120	275	9,747	1,760	26	63
2014	은평구	녹번동	1,087	170	-	80	719	76	-	42	1,000	164	-	70	656	68	-	42
2014	은평구	불광1동	1,279	92	-	-	887	266	-	34	1,056	87	-	-	721	227	-	21
