기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2019	은평구	불광2동	499	190	-	-	272	37	-	-	425	176	-	-	229	20	-	-
2019	은평구	응암3동	567	111	-	48	408	-	-	-	500	110	-	45	345	-	-	-
2019	은평구	역촌동	1,345	419	-	116	684	126	-	-	1,176	401	-	100	583	92	-	-
2019	서대문구	소계	6,937	3,124	-	82	2,447	731	29	524	6,169	2,830	-	73	2,138	693	21	414
2019	서대문구	천연동	514	116	-	-	366	32	-	-	463	106	-	-	325	32	-	-
2019	서대문구	홍제1동	564	286	-	-	186	92	-	-	513	251	-	-	181	81	-	-
2019	서대문구	홍제3동	485	275	-	-	171	39	-	-	439	260	-	-	140	39	-	-
2019	서대문구	홍제2동	252	195	-	-	-	57	-	-	232	177	-	-	-	55	-	-
2019	서대문구	홍은1동	436	216	-	-	133	58	29	-	331	175	-	-	78	57	21	-
2019	서대문구	홍은2동	296	102	-	-	161	33	-	-	244	100	-	-	118	26	-	-
2019	서대문구	남가좌1동	446	317	-	-	32	97	-	-	432	304	-	-	32	96	-	-
2019	서대문구	남가좌2동	592	218	-	-	247	127	-	-	577	208	-	-	245	124	-	-
2019	서대문구	북가좌1동	421	330	-	-	-	91	-	-	409	318	-	-	-	91	-	-
2019	서대문구	북가좌2동	578	167	-	-	343	68	-	-	518	162	-	-	298	58	-	-
2019	서대문구	충현동	436	40	-	30	257	19	-	90	408	34	-	22	253	17	-	82
2019	서대문구	북아현동	711	452	-	-	259	-	-	-	598	396	-	-	202	-	-	-
2019	서대문구	신촌동	495	88	-	52	-	-	-	355	386	63	-	51	-	-	-	272
2019	서대문구	연희동	711	322	-	-	292	18	-	79	619	276	-	-	266	17	-	60
2019	마포구	소계	9,365	4,458	-	227	2,376	1,312	153	839	8,081	3,868	-	178	2,105	1,210	145	575
2019	마포구	용강동	439	247	-	49	44	99	-	-	411	231	-	37	44	99	-	-
2019	마포구	대흥동	203	203	-	-	-	-	-	-	167	167	-	-	-	-	-	-
2019	마포구	염리동	354	182	-	60	92	20	-	-	255	143	-	33	62	17	-	-
2019	마포구	신수동	549	368	-	-	103	78	-	-	435	272	-	-	100	63	-	-
2019	마포구	서교동	352	315	-	-	-	37	-	-	310	277	-	-	-	33	-	-
2019	마포구	합정동	456	243	-	-	-	90	38	85	350	204	-	-	-	76	35	35
2019	마포구	망원1동	552	212	-	-	223	117	-	-	507	181	-	-	216	110	-	-
2019	마포구	망원2동	563	126	-	-	299	138	-	-	501	118	-	-	249	134	-	-
