기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정
2011	성북구	길음1동	1,135	263	-	345	345	-	-	-	527	1,018	258	-	328	328	-	-	-	432
2011	성북구	길음2동	350	87	-	154	154	-	-	-	109	273	82	-	87	87	-	-	-	104
2011	성북구	월곡1동	826	70	79	473	314	159	-	-	204	754	70	75	424	274	150	-	-	185
2011	성북구	월곡2동	618	229	-	244	205	39	-	-	145	563	218	-	228	190	38	-	-	117
2011	성북구	장위1동	768	44	-	648	589	59	-	-	76	646	44	-	533	476	57	-	-	69
2011	성북구	장위2동	669	-	-	618	502	116	-	-	51	601	-	-	558	444	114	-	-	43
2011	성북구	장위3동	747	120	72	386	366	20	-	-	169	701	118	72	367	349	18	-	-	144
2011	성북구	성북동	228	161	-	27	27	-	-	-	40	217	159	-	23	23	-	-	-	35
2011	성북구	삼선동	477	166	-	184	184	-	-	47	80	449	157	-	184	184	-	-	31	77
2011	성북구	동선동	393	108	-	285	158	127	-	-	-	345	107	-	238	135	103	-	-	-
2011	성북구	종암동	1,244	130	-	706	636	70	-	-	408	1,062	125	-	614	545	69	-	-	323
2011	성북구	석관동	662	90	-	379	379	-	-	-	193	628	87	-	357	357	-	-	-	184
2011	강북구	소계	9,547	1,715	153	6,313	6,011	302	27	52	1,287	8,277	1,579	138	5,427	5,152	275	20	47	1,066
2011	강북구	번1동	604	72	-	467	467	-	-	-	65	477	70	-	350	350	-	-	-	57
2011	강북구	번2동	553	143	-	329	329	-	-	-	81	512	136	-	303	303	-	-	-	73
2011	강북구	번3동	483	40	89	228	228	-	-	-	126	456	39	77	226	226	-	-	-	114
2011	강북구	수유1동	856	79	-	745	745	-	-	-	32	774	75	-	672	672	-	-	-	27
2011	강북구	수유2동	927	82	64	649	649	-	-	-	132	846	75	61	616	616	-	-	-	94
2011	강북구	수유3동	554	-	-	487	438	49	-	52	15	489	-	-	428	386	42	-	47	14
2011	강북구	삼양동	886	305	-	440	350	90	-	-	141	808	288	-	382	301	81	-	-	138
2011	강북구	미아동	500	163	-	250	250	-	-	-	87	424	154	-	210	210	-	-	-	60
2011	강북구	송중동	917	206	-	584	584	-	-	-	127	747	204	-	440	440	-	-	-	103
2011	강북구	송천동	889	84	-	712	588	124	-	-	93	691	82	-	564	451	113	-	-	45
2011	강북구	삼각산동	888	157	-	389	389	-	-	-	342	813	153	-	357	357	-	-	-	303
2011	강북구	우이동	738	71	-	640	640	-	27	-	-	669	59	-	590	590	-	20	-	-
2011	강북구	인수동	752	313	-	393	354	39	-	-	46	571	244	-	289	250	39	-	-	38
2011	도봉구	소계	10,618	1,478	33	5,983	5,743	240	55	64	3,005	9,197	1,425	25	5,258	5,109	149	33	63	2,393
2011	도봉구	쌍문1동	651	79	-	480	455	25	-	-	92	539	79	-	372	362	10	-	-	88
2011	도봉구	쌍문2동	454	116	-	222	222	-	-	-	116	415	102	-	216	216	-	-	-	97
2011	도봉구	쌍문3동	628	95	-	467	467	-	-	-	66	545	94	-	395	395	-	-	-	56
2011	도봉구	쌍문4동	539	-	-	240	240	-	-	-	299	462	-	-	231	231	-	-	-	231
2011	도봉구	방학1동	1,079	79	-	765	718	47	-	64	171	944	78	-	676	629	47	-	63	127
2011	도봉구	방학2동	932	135	-	777	777	-	-	-	20	879	127	-	733	733	-	-	-	19
2011	도봉구	방학3동	909	202	-	198	198	-	20	-	489	738	191	-	181	181	-	19	-	347
2011	도봉구	창1동	590	130	-	151	151	-	-	-	309	547	130	-	151	151	-	-	-	266
2011	도봉구	창2동	1,001	84	-	595	595	-	35	-	287	822	84	-	507	507	-	14	-	217
2011	도봉구	창3동	784	79	33	618	591	27	-	-	54	685	79	25	529	508	21	-	-	52
2011	도봉구	창4동	599	99	-	131	131	-	-	-	369	500	98	-	115	115	-	-	-	287
2011	도봉구	창5동	731	79	-	418	322	96	-	-	234	611	79	-	338	301	37	-	-	194
2011	도봉구	도봉1동	754	110	-	587	542	45	-	-	57	633	96	-	495	461	34	-	-	42
2011	도봉구	도봉2동	967	191	-	334	334	-	-	-	442	877	188	-	319	319	-	-	-	370
2011	노원구	소계	14,392	2,872	328	5,048	5,008	40	30	188	5,926	12,793	2,676	305	4,539	4,507	32	26	146	5,101
2011	노원구	월계1동	771	124	-	365	345	20	-	-	282	717	119	-	342	326	16	-	-	256
2011	노원구	월계2동	612	236	40	46	46	-	-	-	290	567	225	38	44	44	-	-	-	260
2011	노원구	월계3동	842	148	40	78	78	-	-	-	576	766	144	37	77	77	-	-	-	508
2011	노원구	공릉2동	1,331	323	-	501	501	-	-	45	462	1,197	315	-	445	445	-	-	38	399
2011	노원구	하계1동	696	338	20	193	193	-	-	-	145	614	305	20	179	179	-	-	-	110
2011	노원구	하계2동	415	79	-	59	59	-	-	-	277	417	78	-	54	54	-	-	-	285
2011	노원구	중계본동	438	183	-	92	92	-	-	-	163	384	162	-	82	82	-	-	-	140
2011	노원구	중계1동	670	116	-	370	370	-	-	-	184	575	110	-	337	337	-	-	-	128
2011	노원구	중계4동	409	71	20	141	141	-	-	-	177	352	62	16	136	136	-	-	-	138
2011	노원구	상계1동	1,448	225	128	653	633	20	30	-	412	1,185	217	116	548	532	16	26	-	278
2011	노원구	상계2동	994	96	-	767	767	-	-	30	101	868	95	-	664	664	-	-	29	80
2011	노원구	상계5동	669	95	-	419	419	-	-	-	155	559	55	-	396	396	-	-	-	108
2011	노원구	상계8동	649	70	-	38	38	-	-	-	541	607	70	-	34	34	-	-	-	503
2011	노원구	상계9동	375	-	-	-	-	-	-	-	375	346	-	-	-	-	-	-	-	346
2011	노원구	상계10동	486	96	-	-	-	-	-	64	326	419	91	-	-	-	-	-	31	297
2011	노원구	상계3.4동	1,057	245	20	624	624	-	-	-	168	934	223	20	540	540	-	-	-	151
2011	노원구	상계6.7동	881	30	-	225	225	-	-	49	577	748	29	-	208	208	-	-	48	463
2011	노원구	중계2.3동	625	197	40	-	-	-	-	-	388	594	186	39	-	-	-	-	-	369
2011	노원구	공릉1동	1,024	200	20	477	477	-	-	-	327	944	190	19	453	453	-	-	-	282
2011	은평구	소계	13,279	1,275	131	10,214	9,823	391	39	42	1,578	11,957	1,195	130	9,308	8,950	358	25	42	1,257
2011	은평구	녹번동	948	234	-	620	481	139	-	42	52	838	170	-	596	471	125	-	42	30
2011	은평구	불광1동	1,052	92	-	718	718	-	-	-	242	885	88	-	618	618	-	-	-	179
2011	은평구	갈현1동	787	-	-	712	660	52	-	-	75	745	-	-	682	637	45	-	-	63
2011	은평구	갈현2동	684	-	-	556	556	-	39	-	89	632	-	-	539	539	-	25	-	68
2011	은평구	구산동	756	71	-	581	561	20	-	-	104	673	71	-	523	505	18	-	-	79
2011	은평구	대조동	988	-	131	801	761	40	-	-	56	914	-	130	729	689	40	-	-	55
